X,Y,FID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
103.966666667,10.216666666,967,57520,57510,DUONG DONG,VN,10.216667,103.966667,10,13,N,103,58,E,161,93301,V,RN,F,Y,Y,N,Y, ,H,J, ,K,0,L, , ,Y,N,N, , ,0, , , , ,0, , , ,Y, ,Y, , ,Y,0,0,0, , ,0,N, , , ,0, ,0,0, , ,0,0,0,Y, , , , , ,D, , 
106.716666667,10.766666666,968,57580,57510,THANH HO CHI MINH,VN,10.766667,106.716667,10,46,N,106,43,E,161,93385,M,RN,E,Y,N,N,Y,Y,K,D,G,G,4,L,Y,Y,Y,Y,Y,Y,Y,0, , ,Y,Y,0,Y,Y, ,Y,Y,Y,Y,Y,Y,0,0,0,Y,Y,0,Y,Y,Y,Y,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,C,S,M
35.833333333,34.45,969,45025,45020,TARABULUS,LB,34.45,35.833333,34,27,N,35,50,E,132,56042,M,CB,G,N,Y,N,Y, ,J,H,E,C,1,M,Y,Y,Y,N,Y,Y,Y,0,Y,N,Y,Y,0, ,Y,Y,Y,Y, ,Y,Y, ,0,0,0,Y, ,0,N, , ,Y,0, ,0,0,Y, ,0,0,0,Y,Y,Y,Y,Y,Y,B, ,S
35.3500000000001,33.5000000000001,970,45040,45020,SAYDA,LB,33.5,35.35,33,30,N,35,21,E,132,56044,V,OR,F,N,Y,N,Y, ,M,J,K, ,0,L,Y, ,Y,N,Y,Y,Y,0, , , ,Y,0, ,Y, ,Y, ,Y,Y,Y,Y,0,0,0,Y,Y,0,Y,N,N,N,0,N,0,0, , ,0,0,0, ,Y,Y,Y, , ,C, ,S
34.65,31.8166666660001,971,45100,45060,ASHDOD,IL,31.816667,34.65,31,49,N,34,39,E,132,56067,S,CB,F,N,N,N,Y, , ,A,F,F,0,M,N,N,Y,N,Y,Y,Y,0,Y, ,Y,Y,0, , , ,Y, ,Y,Y,Y,Y,0,0,0,Y,Y,0,Y,Y,Y, ,0,Y,0,0,Y, ,0,0,0,Y,Y,Y, , , ,B, ,M
23.9833333340001,32.083333334,972,45220,45200,MERSA TOBRUQ,LY,32.083333,23.983333,32,5,N,23,59,E,132,56161,S,CB,G,N,Y,N,Y, ,E,A,L, ,1,M,N, ,Y,N,Y,Y,Y,0,Y, ,Y, ,0, ,Y,N, , ,Y, ,Y,Y,0,0,0,Y,Y,0,Y, ,Y, ,0, ,0,0,Y,Y,0,0,0,Y,Y,Y,Y, , , , ,S
22.65,32.766666666,973,45240,45200,DARNAH,LY,32.766667,22.65,32,46,N,22,39,E,132,56160,V,CB,F,N,N,N,Y, ,K,F,K, ,1,M,Y, ,Y,N,Y,Y, ,0,N, ,Y, ,0,Y,Y, ,Y, , , , ,Y,0,0,0,Y, ,0,N, ,Y, ,0, ,0,0,Y,Y,0,0,0,Y,Y,Y, , , ,N, ,S
20.0500000000001,32.1166666670001,974,45280,45200,BANGHAZI,LY,32.116667,20.05,32,7,N,20,3,E,132,56182,M,CB,G,N,N,N,Y, ,H,A,M,M,1,L,Y,Y,N,Y,Y,Y, ,0,Y, ,Y,Y,0,Y,Y,N,Y,N,Y,Y,Y,Y,0,0,0,Y, ,0,N, ,Y,Y,0,Y,0,0,Y,Y,0,0,0, ,Y,Y,Y,Y,Y,B,S,S
20.0500000000001,30.8500000000001,975,45290,45200,EZ ZUEITINA,LY,30.85,20.05,30,51,N,20,3,E,132,56191,V,OR,N,N,Y,N,Y,N,D,A, ,L,0,L,Y,Y,Y,N,Y,Y, ,0,Y, ,Y,Y,0, ,Y,N,Y,N,Y, , ,Y,0,0,0,Y,N,0,N, , , ,0, ,0,0, , ,0,0,0,Y,N,N,N,N,N,D, , 
19.6,30.4166666670001,976,45295,45200,AL BURAYQAH,LY,30.416667,19.6,30,25,N,19,36,E,132,56192,S,CB,F,N,N,N,Y, , ,A,J,A,1,M,Y,Y,Y,N,Y,Y,Y,0,Y,N,Y,Y,0, ,Y,N,Y,N,Y, ,Y,Y,0,0,0,Y, ,0,N, ,Y,Y,0,Y,0,0,Y,Y,0,0,0,N,N,N,N,N,N,N, , 
18.566666667,30.516666666,977,45296,45200,RAS   LANUF,LY,30.516667,18.566667,30,31,N,18,34,E,132,56195,V,OR,N,N,N,N,Y, ,F,A, ,A,0,M,Y, ,Y,N,Y,Y, ,0,Y, ,Y,Y,0,Y, , ,Y,Y,Y, , ,Y,0,0,0,Y, ,0,N, , , ,0, ,0,0, , ,0,0,0,N,N,N,N,N,N,N, , 
18.3666666660001,30.6333333330001,978,45297,45200,AS SIDR,LY,30.633333,18.366667,30,38,N,18,22,E,132,56195,V,OR,P,N,N,N,Y,Y,A,A, ,A,1,L,Y, ,Y, ,Y,Y,Y,0,Y,N,N, ,0, , , ,Y,N,Y, , ,Y,0,0,0,Y,N,0,N,N,N,N,0, ,0,0, , ,0,0,0,N,N,N,N,N,N,D, , 
15.216666666,32.3666666660001,979,45320,45200,MISRATAH,LY,32.366667,15.216667,32,22,N,15,13,E,132,56220,V,OR,F,N,N,N, , ,H,H,J,J,1,L,N,Y,Y,N,Y,Y, ,0, , ,Y, ,0, , , ,Y,N,N, , ,Y,0,0,0,Y, ,0,N,Y,Y,Y,0,Y,0,0,Y, ,0,0,0, ,Y,Y,N,N,N,C,M, 
71.516666666,20.9166666670001,980,48730,48610,PIPAVAV BANDAR,IN,20.916667,71.516667,20,55,N,71,31,E,173,63080,S,CN,G,Y,N,N,Y,N,G,L,G,H,3,L,Y,Y,Y, ,Y,Y,Y,0,Y, ,Y,Y,0,Y,Y,Y, ,Y,Y,Y,Y, ,0,0,0,Y,Y,0,N,Y,Y, ,0,Y,0,0,Y, ,0,0,0,Y,Y,Y, , , ,N,L,L
120.266666667,14.8000000000001,981,58395,57960,SUBIC BAY,PH,14.8,120.266667,14,48,N,120,16,E,162,91286,M,CN,E,Y,Y, , ,Y,A,A,J,K,0,L,Y, ,Y, ,Y,Y,Y,0,Y,Y,Y,Y,0, ,Y, ,Y,Y,Y,Y,Y,Y,0,0,0,Y, ,0,Y,Y,Y, ,0, ,0,0,Y,Y,0,0,0, ,Y,Y, , , ,B,M, 
114.266666666,22.583333333,982,57857,57855,YANTIAN,CN,22.583333,114.266667,22,35,N,114,16,E,161,93730,S,CN,E,Y,Y, ,Y,Y,G,B,G,M,1,M, , ,Y, ,Y,Y,Y,0,Y, ,Y,Y,0,Y,Y,Y,Y, , ,Y, , ,0,0,0,Y, ,0, ,Y,Y, ,0, ,0,0,Y, ,0,0,0,Y,Y,Y, , , ,C, ,S
-90.9333333339999,29.9833333330001,983,8893,8650,ST. JAMES,US,29.983333,-90.933333,29,59,N,90,56,W,CP05,11352,S,RN,F, , , ,Y, , , , ,J,0,M, , , , ,Y,Y,Y,0, , , , ,0, ,Y, , , ,Y,Y,Y, ,0,0,0, , ,0, , , , ,0, ,0,0,Y, ,0,0,0, , , , , , , , , 
158.65,53.0500000000001,984,62600,62530,PETROPAVLOVSK,RU,53.05,158.65,53,3,N,158,39,E,155,96500,V,CN,G,Y,Y, ,Y,Y,J,C,K, ,5,M, , ,Y, ,Y, ,Y,0, , , , ,0,Y, , ,Y, , ,Y,Y, ,0,0,0,Y,Y,0,N,Y,Y,Y,0,Y,0,0, , ,0,0,0,Y,Y,Y, ,Y,Y,A,M, 
165.983333333,55.2,985,62630,62530,NIKOL SKOYE,RU,55.2,165.983333,55,12,N,165,59,E,155,96740,V,CN,P, , ,Y, , ,H,J, , ,4, , , , , , , , ,0, , , , ,0, , , ,Y, , , , ,Y,0,0,0,Y, ,0, , , , ,0, ,0,0, , ,0,0,0,Y,Y, , , , ,D, , 
-173.233333333,64.4166666670001,986,62640,62530,PROVIDENIYA,RU,64.416667,-173.233333,64,25,N,173,14,W,155, ,V,CN,G,N,N,Y,Y,N,A,A,K,L,2, , , , , ,Y,Y,Y,0,Y, ,Y, ,0, ,Y,Y,Y,Y,Y,N,Y, ,0,0,0, , ,0,Y,Y,Y, ,0, ,0,0,Y, ,0,0,0,Y,Y,Y,Y, , ,C, , 
128.866666667,71.6333333330001,987,62670,62530,TIKSI,RU,71.633333,128.866667,71,38,N,128,52,E,183,800,S,CN,F, , ,Y, , ,M,M,M,P,1, , , , , , ,Y, ,0, , , , ,0, , , ,Y, ,Y, ,Y,Y,0,0,0,Y, ,0, ,Y,Y,Y,0, ,0,0, , ,0,0,0, ,Y,Y, , , ,C, , 
170.3,69.716666666,988,62680,62530,PEVEK,RU,69.716667,170.3,69,43,N,170,18,E,183, ,V,CN,G, , , ,Y, ,K,J,N,N,0,L, ,Y, , , , , ,0, , , , ,0, , ,Y, , ,Y, ,Y,Y,0,0,0,Y, ,0, , ,Y, ,0, ,0,0, , ,0,0,0, ,Y,Y, , , ,C, , 
80.516666666,73.5000000000001,989,62695,62530,PORT DIKSON,RU,73.5,80.516667,73,30,N,80,31,E,183,42141,V,CN,G, , ,Y, ,N,J,M,J,N,1,M, , , , ,Y,N,N,0, , , ,Y,0,Y,N,N,Y,Y,Y,N,Y,Y,0,0,0,Y,Y,0,Y,Y,Y, ,0, ,0,0, , ,0,0,0,Y,Y,Y, , , ,C, , 
86.1666666670001,69.4,990,62720,62530,DUDINKA,RU,69.4,86.166667,69,24,N,86,10,E,183,800,M,RN,G, , ,Y,Y, ,M,L,M,P,0,M, , , , , ,Y, ,0,Y, , , ,0, ,Y, , ,Y,Y,Y,Y,Y,0,0,0,Y, ,0, , ,Y,Y,0, ,0,0, , ,0,0,0, , ,Y, , , ,C, , 
86.6000000000001,67.4833333330001,991,62730,62530,IGARKA,RU,67.483333,86.6,67,29,N,86,36,E,183,800,S,RN,G,N,N,Y,Y,N,E,J,L,J,0,M,Y, ,Y,N,Y,Y,Y,0, , ,Y,Y,0,Y,Y,Y,Y,Y,Y, ,Y,Y,0,0,0,Y,N,0,N, , ,Y,0, ,0,0,Y, ,0,0,0,Y,Y,Y,Y,N,N,C, , 
44.1833333330001,65.833333334,992,62775,62530,MEZEN,RU,65.833333,44.183333,65,50,N,44,11,E,183, ,S,CN,G,Y,N,Y,Y, ,O,O,O, ,3,M,Y, ,Y,N,Y,Y,Y,0,Y, ,Y, ,0, , , ,Y,Y,Y,Y,Y, ,0,0,0,Y, ,0,Y, , ,Y,0, ,0,0,Y,Y,0,0,0, ,Y,Y, , , ,C, , 
40.533333333,64.5333333340001,993,62800,62530,ARKHANGELS'K,RU,64.533333,40.533333,64,32,N,40,32,E,183, ,M,RN,G,Y,N,Y,Y,Y,L,K,L,L,1,L,Y, ,Y,N,Y,Y,Y,0,Y, ,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,Y, ,0,0,0,Y,Y,0,Y,Y,Y,Y,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,A,L,L
98.766666667,1.73333333300008,994,50510,50020,SIBOLGA,ID,1.733333,98.766667,1,44,N,98,46,E,174,71009,V,CN,F,N,N,N,N,Y,M,J,N,L,0,M, , ,N,N,Y,N,N,0, , ,N,Y,0, , , ,Y,Y,Y, ,Y,Y,0,0,0,Y,Y,0,N, , , ,0, ,0,0,Y, ,0,0,0,Y,N,N,N, , ,N, , 
95.2833333330001,5.56666666700005,995,50600,50515,ULEELHEUE,ID,5.566667,95.283333,5,34,N,95,17,E,174, ,V,OR,F,N,Y,N,Y, ,L,L,K,L,2,M,Y, , , ,Y,Y,Y,0, , ,N,Y,0,Y, , ,Y,Y,Y, ,Y,Y,0,0,0,Y, ,0,Y, ,Y, ,0, ,0,0,Y, ,0,0,0,Y,Y,Y, , , ,C, , 
95.3166666660001,5.88333333300005,996,50610,50515,SABANG,ID,5.883333,95.316667,5,53,N,95,19,E,174, ,V,CB,F,Y,Y,N,Y, ,B,B,L,J,1,L,Y, ,Y, ,Y,Y,Y,0,Y, ,Y,Y,0, , , ,Y,Y,Y, ,Y,Y,0,0,0,Y, ,0,Y, , , ,0, ,0,0,Y,Y,0,0,0,Y,Y,Y, , , ,C,M, 
